iter	RMSE	RMSE
0	2.008584596	2.008584596
1	2.001620715	2.001620715
2	1.994916574	1.994916574
3	1.98837367	1.98837367
4	1.981700189	1.981700189
5	1.974911617	1.974911617
6	1.968334279	1.968334279
7	1.96198246	1.96198246
8	1.955757486	1.955757486
9	1.949682564	1.949682564
10	1.943630912	1.943630912
11	1.937789069	1.937789069
12	1.932170125	1.932170125
13	1.92653919	1.92653919
14	1.921120914	1.921120914
15	1.915851218	1.915851218
16	1.910594137	1.910594137
17	1.905812633	1.905812633
18	1.900714557	1.900714557
19	1.895843382	1.895843382
20	1.891048445	1.891048445
21	1.88674259	1.88674259
22	1.882214872	1.882214872
23	1.877702114	1.877702114
24	1.873262666	1.873262666
25	1.868759101	1.868759101
26	1.864786053	1.864786053
27	1.860669131	1.860669131
28	1.856562545	1.856562545
29	1.852390943	1.852390943
30	1.848400207	1.848400207
31	1.844550358	1.844550358
32	1.840684566	1.840684566
33	1.836983464	1.836983464
34	1.833573096	1.833573096
35	1.829675795	1.829675795
36	1.826378174	1.826378174
37	1.822866297	1.822866297
38	1.819495611	1.819495611
39	1.815844068	1.815844068
40	1.812555434	1.812555434
41	1.80937082	1.80937082
42	1.806104194	1.806104194
43	1.803132207	1.803132207
44	1.800256549	1.800256549
45	1.797395818	1.797395818
46	1.794407866	1.794407866
47	1.791522547	1.791522547
48	1.788853164	1.788853164
49	1.786015314	1.786015314
50	1.783258568	1.783258568
51	1.780526008	1.780526008
52	1.778055917	1.778055917
53	1.775653282	1.775653282
54	1.773235398	1.773235398
55	1.770731018	1.770731018
56	1.768245386	1.768245386
57	1.766137137	1.766137137
58	1.764098804	1.764098804
59	1.762059683	1.762059683
60	1.759801168	1.759801168
61	1.757617469	1.757617469
62	1.755462574	1.755462574
63	1.753515274	1.753515274
64	1.751406078	1.751406078
65	1.749345341	1.749345341
66	1.748123916	1.748123916
67	1.746076041	1.746076041
68	1.744065519	1.744065519
69	1.742278667	1.742278667
70	1.740447064	1.740447064
71	1.738706814	1.738706814
72	1.736854221	1.736854221
73	1.734974436	1.734974436
74	1.73324605	1.73324605
75	1.731554285	1.731554285
76	1.72985227	1.72985227
77	1.728217014	1.728217014
78	1.726724312	1.726724312
79	1.725156052	1.725156052
80	1.723548845	1.723548845
81	1.721985625	1.721985625
82	1.720491336	1.720491336
83	1.719159698	1.719159698
84	1.71764312	1.71764312
85	1.716273508	1.716273508
86	1.714934965	1.714934965
87	1.713704653	1.713704653
88	1.712367737	1.712367737
89	1.711039276	1.711039276
90	1.709747708	1.709747708
91	1.708456478	1.708456478
92	1.707433871	1.707433871
93	1.706222978	1.706222978
94	1.704860723	1.704860723
95	1.70379993	1.70379993
96	1.702675009	1.702675009
97	1.701570581	1.701570581
98	1.700571134	1.700571134
99	1.699522823	1.699522823
100	1.698516419	1.698516419
101	1.697350711	1.697350711
102	1.696304845	1.696304845
103	1.695342528	1.695342528
104	1.694344713	1.694344713
105	1.693351467	1.693351467
106	1.692429718	1.692429718
107	1.691543397	1.691543397
108	1.690665714	1.690665714
109	1.689795454	1.689795454
110	1.688814531	1.688814531
111	1.687962626	1.687962626
112	1.687141498	1.687141498
113	1.686234094	1.686234094
114	1.685403866	1.685403866
115	1.684643229	1.684643229
116	1.683868181	1.683868181
117	1.683215845	1.683215845
118	1.682387827	1.682387827
119	1.681623564	1.681623564
120	1.680884259	1.680884259
121	1.680108455	1.680108455
122	1.679318907	1.679318907
123	1.678566998	1.678566998
124	1.677822327	1.677822327
125	1.677093203	1.677093203
126	1.676415128	1.676415128
127	1.675758034	1.675758034
128	1.675269702	1.675269702
129	1.67460648	1.67460648
130	1.673974861	1.673974861
131	1.673375707	1.673375707
132	1.673056336	1.673056336
133	1.672620455	1.672620455
134	1.672008976	1.672008976
135	1.671383048	1.671383048
136	1.670848266	1.670848266
137	1.67029939	1.67029939
138	1.669703785	1.669703785
139	1.669146141	1.669146141
140	1.668627948	1.668627948
141	1.668114154	1.668114154
142	1.66772343	1.66772343
143	1.667188512	1.667188512
144	1.666631427	1.666631427
145	1.666136736	1.666136736
146	1.665633905	1.665633905
147	1.665129156	1.665129156
148	1.664780887	1.664780887
149	1.664204191	1.664204191
150	1.663827514	1.663827514
151	1.66335174	1.66335174
152	1.662875414	1.662875414
153	1.662401968	1.662401968
154	1.661889475	1.661889475
155	1.661403155	1.661403155
156	1.660972596	1.660972596
157	1.660623455	1.660623455
158	1.660323554	1.660323554
159	1.659921725	1.659921725
160	1.659503337	1.659503337
161	1.659309838	1.659309838
162	1.65894461	1.65894461
163	1.658537808	1.658537808
164	1.658094773	1.658094773
165	1.657806252	1.657806252
166	1.657449351	1.657449351
167	1.657167186	1.657167186
168	1.656750033	1.656750033
169	1.656502196	1.656502196
170	1.656150808	1.656150808
171	1.655838871	1.655838871
172	1.655501651	1.655501651
